id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F7349	235.0798	44.48	_singleton_7436	C13H14O2S	singleton	40.66	47.96	3514	37314347	0.95	0.79	120	1	37338347
F7357	312.166	570.64	7442	C19H24N2S	singleton	568.08	573.19	5520	1645589	1.0	1.0	224	1	1667471
F7358	264.6332	605.05	112130		singleton	603.17	608.53	4216	1827163	1.0	0.88	243	1	1881740
F7362	287.1248	448.3	kp731_264.1356		M0,Na/H	445.37	452.28	4862	12518650	1.0	0.99	209	1	12540650
F7363	287.1248	470.71	_singleton_7049	C15H20O4	singleton	468.74	474.38	4862	1259227	0.85	0.83	8	1	1277227
F7365	287.1248	521.39	_singleton_7050	C15H20O4	singleton	518.13	524.32	4862	1540621	0.97	0.96	16	1	1560621
F7368	264.9491	830.48	7446	C6H10Cl3NO2S	singleton	828.27	840.45	4217	1480740	1.0	0.79	101	1	1536096
F7371	287.1343	659.11	5755	C11H16N4O4	singleton	655.67	662.86	4864	9274301	1.0	0.97	724	1	9343643
F7373	265.0377	246.89	_singleton_7447	C9H12O7S	singleton	242.83	250.86	4222	3821509	1.0	0.98	217	1	3887058
F7374	265.0377	262.65	7448	C9H12O7S	singleton	258.58	266.7	4222	4989730	1.0	0.97	365	1	5063950
F7375	312.2162	363.32	_singleton_6170	C17H26O4	singleton	360.63	365.67	5523	1645618	0.86	0.88	24	1	1661618
F7376	312.2162	370.37	kp733_311.2087		M0,M+H+	366.35	374.41	5523	18559110	1.0	0.95	264	1	18584110
F7377	312.2162	380.07	kp734_311.2087		M0,M+H+	376.77	384.05	5523	18091107	1.0	0.98	324	1	18114107
F7378	312.2162	395.7	_singleton_6171	C17H26O4	singleton	391.67	399.06	5523	3330259	0.96	0.93	38	1	3353259
F7379	312.2162	410.4	_singleton_6172	C17H26O4	singleton	407.77	414.1	5523	1072787	0.78	0.9	8	1	1092787
F7380	312.2162	520.39	_singleton_6173	C17H26O4	singleton	518.13	524.32	5523	5632754	1.0	0.95	137	1	5652754
F7381	312.2162	538.34	kp698_309.2018		13C/12C*2,M+H+	535.72	542.25	5523	1982126	0.91	0.85	56	1	2003126
F7382	235.0937	403.79	kp1943_212.1044		M0,Na/H	401.44	406.45	3517	2126519	1.0	0.99	100	1	2123058
F7390	235.0964	447.65	_singleton_7449	C13H12O3	singleton	444.1	451.61	3518	3648089	1.0	0.98	12	1	3680560
F7392	235.0964	480.84	7451	C13H12O3	singleton	477.03	484.69	3518	3524984	1.0	0.97	11	1	3561355
F7396	287.1466	537.68	_singleton_7455	C10H15N5O4	singleton	534.74	538.99	4866	13576099	1.0	0.99	502	1	13590099
F7397	287.1466	540.94	7456	C10H15N5O4	singleton	538.99	542.57	4866	30556336	1.0	0.96	947	1	30568336
F7399	265.0587	36.52	_singleton_7457	C8H10NO6P	singleton	35.57	38.1	4224	549703	0.84	0.99	111	1	558706
F7400	265.0587	827.96	7458	C8H10NO6P	singleton	824.2	831.75	4224	3324848	1.0	0.94	24	1	3381140
F7403	265.0677	304.27	7460	C11H14O6	singleton	300.27	308.33	4225	1978552	1.0	0.85	148	1	2034742
F7404	312.3619	632.66	7461	C21H42	singleton	629.5	636.46	5528	4408062	1.0	0.93	337	1	4479178
F7409	312.6327	660.36	112131		singleton	656.61	663.8	5529	5723163	1.0	0.96	532	1	5775739
F7410	265.0743	344.7	_singleton_7466	C11H12N4O2S	singleton	341.76	348.26	4227	1274098	0.8	1.0	128	1	1296639
F7411	265.0743	472.39	_singleton_7467	C11H12N4O2S	singleton	468.41	476.37	4227	3076819	1.0	0.99	66	1	3122066
F7412	265.0743	485.68	7468	C11H12N4O2S	singleton	481.78	489.34	4227	1517150	0.74	0.76	17	1	1613659
F7414	287.1615	555.81	_singleton_6908	C16H24O3		552.6	558.38	4868	1998581	0.78	0.95	9	1	1972103
F7415	287.1615	585.9	kp2048_264.1721		M0,Na/H	582.05	589.75	4868	5118008	0.96	0.87	18	1	5137429
F7416	265.0849	40.34	6994	C9H16N2O5S	singleton	36.84	43.85	4228	1895413	1.0	0.94	118	1	1937167
F7418	265.0935	479.9	kp736_242.1043		M0,Na/H	477.36	483.7	4230	21774641	1.0	0.94	2166	1	21795641
F7419	287.1923	428.44	_singleton_5877	C16H20BNO2	singleton	425.76	431.09	4869	960317	1.0	1.0	52	1	990922
F7420	287.1923	482.1	5878	C16H20BNO2	singleton	480.53	485.68	4869	1250613	1.0	0.98	66	1	1282809
F7425	265.0966	182.51	kp727_264.0893		M0,M+H+	178.45	186.54	4231	21415843	1.0	0.94	446	1	21440843
F7427	313.1016	552.92	kp2550_937.2921		M0,M+H+, 3x charged	549.4	556.78	5537	4174714	1.0	0.97	353	1	4215498
F7428	235.1115	43.85	_singleton_5735	C9H15NO3S	singleton	41.31	46.69	3522	4138772	1.0	0.86	76	1	4230626
F7429	235.1115	48.28	_singleton_5736	C9H15NO3S	singleton	46.69	52.1	3522	3246811	1.0	0.84	43	1	3277241
F7431	265.1108	540.29	7477	C17H15NO2	singleton	537.03	543.55	4233	5961154	1.0	1.0	663	1	5982161
F7434	235.1151	43.54	_singleton_7478	C6H12N6O3	singleton	40.02	46.06	3523	2305459	1.0	0.94	227	1	2229148
F7436	235.1151	58.11	7480	C6H12N6O3	singleton	56.51	60.65	3523	849333	0.8	0.87	103	1	887576
F7439	265.1177	229.05	kp611_264.1103		M0,M+H+	225.14	233.04	4235	540418485	1.0	0.99	4093	1	540443485
F7445	287.2	532.78	kp737_286.1927		M0,M+H+	529.85	536.7	4870	6291446	1.0	0.95	20	1	6313446
F7446	287.2	605.05	kp738_286.1927		M0,M+H+	601.26	608.85	4870	13240620	1.0	0.92	24	1	13265620
F7449	235.1294	47.01	7486	C9H16N2O4	singleton	44.48	50.83	3525	1078907	0.77	0.84	61	1	1118338
F7450	265.1226	551.66	7487	C10H18N2O3S	singleton	549.07	555.15	4237	1271297	0.73	0.99	146	1	1304551
F7454	287.204	552.92	7488	C16H28OS	singleton	550.38	554.51	4871	3638628	1.0	0.88	473	1	3652628
F7455	265.1296	229.05	7489	C14H19NO4	singleton	226.42	233.04	4238	1801042	0.93	0.95	151	1	1826727
F7457	313.1314	506.4	_singleton_7490	C18H19NO4	singleton	502.48	510.29	5540	2929895	1.0	0.97	92	1	2976883
F7458	313.1314	536.05	_singleton_7491	C18H19NO4	singleton	532.13	539.64	5540	3326494	1.0	0.98	73	1	3335078
F7459	313.1314	541.92	_singleton_7492	C18H19NO4	singleton	539.64	545.82	5540	1845841	1.0	0.98	41	1	1868546
F7460	313.1314	551.02	7493	C18H19NO4	singleton	547.12	554.83	5540	4769897	1.0	0.99	105	1	4787353
F7461	265.1325	229.7	7494	C15H15N5	singleton	226.42	233.38	4239	3230338	1.0	0.97	247	1	3259649
F7462	265.1367	229.05	7495	C14H17NOS	singleton	226.42	232.71	4240	1236698	1.0	0.98	106	1	1256706
F7463	287.2211	555.47	7215	C16H30O4	singleton	552.29	559.35	4872	8689941	1.0	0.93	49	1	8712941
F7464	287.2211	570.64	kp739_286.2138		M0,M+H+	567.11	574.46	4872	8221348	1.0	0.93	39	1	8245348
F7466	313.1406	561.61	kp740_312.1335		M0,M+H+	558.06	565.49	5541	36585892	1.0	0.94	204	1	36609892
F7469	235.131	523.34	_singleton_7496	C12H20O3	singleton	520.74	525.63	3526	2113447	0.71	0.96	26	1	2163644
F7471	313.1422	576.34	7170	C17H22O4	singleton	574.14	577.91	5542	809273	0.83	0.87	19	1	808832
F7473	287.2364	486.03	_singleton_5822	C20H28	singleton	483.06	489.67	4873	2155743	1.0	0.99	36	1	2182546
F7474	287.2364	540.62	_singleton_5823	C20H28	singleton	538.01	544.51	4873	1737581	0.76	0.85	9	1	1784230
F7475	287.2364	556.14	_singleton_5824	C20H28	singleton	554.51	559.99	4873	1422145	0.76	0.97	12	1	1418447
F7476	287.2364	571.59	kp741_286.229		M0,M+H+	568.08	575.4	4873	6647304	1.0	0.98	49	1	6677692
F7477	287.2364	644.02	_singleton_5825	C20H28	singleton	642.44	647.8	4873	1347364	0.73	0.88	20	1	1361057
F7478	287.2364	708.41	5826	C20H28	singleton	704.94	712.19	4873	5186984	1.0	0.96	71	1	5184395
F7482	265.1409	506.08	kp742_242.1515		M0,Na/H	503.47	509.97	4241	42613083	1.0	0.98	133	1	42634083
